mssv,namBD,TotNghiep,Label
be375baaxpvaibaexe9jdlha4z2ghj3/pvstcxr2,1,True,TreHan
2420ed57xpvaibaexe/lh6v1xxtkja6jlfrupklm,1,True,TreHan
83b76c01xpvaibaexe/loccskaoio2k46r7t4qnt,2013,False,TreHan
91f785abxpvaibaexe/loccskaoio5y4gbvvurqu,1,True,TreHan
007c275dxpvaibaexe+tfgedwynnveoomoyeyzf6,1,False,TreHan
4d1054a2xpvaibaexe8wd3qnvg2b/av/yyzs56/d,1,True,TreHan
ae78a5c2xpvaibaexe+yu1j0ocviqv7up2ksrfnx,1,False,TreHan
c6114925xpvaibaexe/bn5cqsu92wepawyzsqola,1,True,TreHan
eaa0b693xpvaibaexe99j2p15eeb04xwhz0tzli4,1,True,TreHan
01cd0fe9xpvaibaexe/ykn5ysyyl7c/lvirfhl6k,2013,False,TreHan
9c8782a5xpvaibaexe9lf2o7vejwnskij3b/kh8y,1,True,TreHan
4dd248d9xpvaibaexe+6mn9fow2mqelov0tjpgtd,2013,True,DungHan
ff601afcxpvaibaexe93peysajovk+or7t0uzryf,2013,True,DungHan
f257be3expvaibaexe+lo6ejkhwaqx9v5oomnekz,1,True,TreHan
933c1fd5xpvaibaexe9m021ivaawilpvfi2513m9,2013,True,DungHan
c29ea000xpvaibaexe8jolcsaisstlksqecu+uyk,1,True,TreHan
931c7551xpvaibaexe9ystifngomwrbirvzkrprw,2013,False,TreHan
7081fe0axpvaibaexe/wso41+3xfkbwpg5irjavv,2013,True,DungHan
1144c476xpvaibaexe/fejqn8/s5fmtebtq6dfpo,2013,True,DungHan
e80cfc67xpvaibaexe+fmxcqgvribas3hmtuylgw,1,True,TreHan
59cd26eexpvaibaexe8wlx2/dthdaummtwfxvmcu,1,False,TreHan
add6626axpvaibaexe/sxwnrab2vgdj3jmkixwre,1,True,TreHan
4afe5a8expvaibaexe9mlbi3ccq2bmqcbjt1z6h0,2013,True,DungHan
809877dcxpvaibaexe8/3inqysorb/0vloiti8og,2013,True,DungHan
c4b57b74xpvaibaexe+wmtnhlfgiwrntvgutcknx,1,False,TreHan
f0d55309xpvaibaexe9jdumjpcat8jvbqjams4ky,2013,False,TreHan
c47110efxpvaibaexe/pgaannwvbuf95kjjbq6bs,2013,True,DungHan
074d8586xpvaibaexe8s1xx8dwm0qvmydwkqi9z8,1,True,TreHan
fe92b059xpvaibaexe9e+kue/nfliskxeugpimay,1,True,TreHan
c57530a4xpvaibaexe8hvnm4ihlelvtcbud7ztlv,2013,False,TreHan
3e479342xpvaibaexe+kwir/vxjl01d1beeukzan,1,False,TreHan
601e0986xpvaibaexe+y4ivhjp8sxpmss9jvmguu,1,True,TreHan
e210aa8expvaibaexe/asavnwdrs7euzuteqhaql,2013,False,TreHan
5b67ff77xpvaibaexe/sxwnrab2vghqoisebh7by,1,True,TreHan
a71e7b7expvaibaexe+gstdvgy5pdvugtlka9wy2,1,False,TreHan
9cb66503xpvaibaexe9e+kue/nflivhlsaedjpcv,1,True,TreHan
a406e7fdxpvaibaexe/xbblewrhgqyqrazwms21c,1,True,TreHan
6e67eb19xpvaibaexe/x/wixypgyast5qiaayiqu,1,True,TreHan
62200a76xpvaibaexe9/su+qlcydmsqrq0km5nhu,2013,True,DungHan
0cbe4487xpvaibaexe+fmxcqgvribaaiapdgkorx,2013,False,TreHan
2441a7c2xpvaibaexe8vekuw4elehn5inkxockf2,1,True,TreHan
c76005a8xpvaibaexe/x/wixypgyag54zpujwgey,2013,True,DungHan
52e66659xpvaibaexe/7sxkigc7f5zukr2wlnro3,1,False,TreHan
516d213cxpvaibaexe9jdumjpcat8sqifwybartw,2013,False,TreHan
41ebf544xpvaibaexe8/3inqysorb+za0ywmmptx,1,False,TreHan
6eb4408fxpvaibaexe+cd1fkelqxl06nwb8jxnux,2013,False,TreHan
b5953d10xpvaibaexe+bhzka9xggxwnkm2l+acxt,2013,True,DungHan
baa21e56xpvaibaexe9xnw4t0gpgx5ergjwy9ide,1,False,TreHan
b3078280xpvaibaexe9kdsvv3crkmr3thedfuzst,2013,False,TreHan
2abbe719xpvaibaexe9hpqqhqoopyuj9wju9hlcm,2013,True,DungHan
aa971f36xpvaibaexe+fmxcqgvriba5vxtc+v0/y,2013,False,TreHan
cd84523expvaibaexe+llvbxzunmja9yrcwsmo7a,2013,False,TreHan
cd52678bxpvaibaexe97hu2rthdnnha5e5dkdc+d,2013,True,DungHan
55d02cb4xpvaibaexe9m021ivaawiaql8baljrn4,2013,True,DungHan
ff648425xpvaibaexe97hu2rthdnnauhakpicpto,1,False,TreHan
c2100719xpvaibaexe/bqa0y8r3trcj/jtkxsbzj,1,True,TreHan
e99e9ea2xpvaibaexe+llvbxzunmjfoikyw9ng8u,2013,True,DungHan
31d5d488xpvaibaexe85kg8gbehwbxd0x3mi2el8,2013,False,TreHan
7e308531xpvaibaexe879+aog1gh8i58q/vmq7ru,2013,False,TreHan
0fcb6532xpvaibaexe879+aog1gh8o0eeqcyq8hr,2013,False,TreHan
baf446bfxpvaibaexe879+aog1gh8uqreauqa0ag,2013,True,DungHan
599dffb8xpvaibaexe879+aog1gh8ljvchsn7o+v,1,False,TreHan
364b9e9bxpvaibaexe879+aog1gh8srvdbmzsixe,1,True,TreHan
bbad4f2bxpvaibaexe879+aog1gh8vgaqyz3wjar,2013,True,DungHan
88c15831xpvaibaexe879+aog1gh8umwwp9sxqnj,1,True,TreHan
fc77e598xpvaibaexe879+aog1gh8pb/q8kzj2a3,2013,True,DungHan
9e9a38aexpvaibaexe879+aog1gh8jbg5ccj9ksf,1,False,TreHan
140e6c4cxpvaibaexe/asavnwdrs7te/6fhn3jz9,1,False,TreHan
a6ea9f79xpvaibaexe/asavnwdrs7dxihpgvggph,2013,True,DungHan
f9ad085cxpvaibaexe/asavnwdrs7ejs/e1rgnuq,1,True,TreHan
b1460568xpvaibaexe/asavnwdrs7f+ampj9kbjl,1,False,TreHan
32ca7383xpvaibaexe/asavnwdrs7w3j9+tve5zi,2013,False,TreHan
85a1ef64xpvaibaexe/asavnwdrs7adwg/eutygp,2013,True,DungHan
e68386bcxpvaibaexe/asavnwdrs7bt1mwa0tqq/,2013,False,TreHan
786be3ebxpvaibaexe/asavnwdrs7uaj1ytnlmwy,2013,True,DungHan
f585674dxpvaibaexe93peysajovk6t3muzthkox,2013,True,DungHan
9095eee4xpvaibaexe93peysajovk2korjqcpxlr,2013,True,DungHan
246bfb8axpvaibaexe93peysajovk7f1tlf/mfro,1,False,TreHan
9593c5a1xpvaibaexe93peysajovkwygf+owqhpe,2013,True,DungHan
b652e11dxpvaibaexe93peysajovkyjm7attknby,1,True,TreHan
d563be5expvaibaexe93peysajovk29beikxuhf+,2013,True,DungHan
98247e19xpvaibaexe93peysajovkxsz+hiviyyj,1,False,TreHan
94d07c75xpvaibaexe93peysajovk2ldmz8hmbbn,2013,False,TreHan
33472657xpvaibaexe8ge2uhv4j4bweoqnnp7n/7,2013,False,TreHan
04f89839xpvaibaexe8ge2uhv4j4b7n8hgeptcln,2013,True,DungHan
4cd37f46xpvaibaexe8ge2uhv4j4byyo6uzlkm42,1,True,TreHan
c1a9fd65xpvaibaexe8ge2uhv4j4bztlfcscqmww,1,False,TreHan
5236793dxpvaibaexe8ge2uhv4j4b3ck3m4mi0jb,1,True,TreHan
7caaee6bxpvaibaexe8ge2uhv4j4b+kfxfdub6ad,1,True,TreHan
97ce096expvaibaexe8ge2uhv4j4b99t3e9bmk5q,1,False,TreHan
1ce4cdb2xpvaibaexe8ge2uhv4j4bys1gt3otwsa,1,True,TreHan
24dc3d8axpvaibaexe8ge2uhv4j4b18quy8ruyi8,2013,True,DungHan
6e479e37xpvaibaexe+1p/4gnbgres61me4ezb4e,2013,True,DungHan
13d944e0xpvaibaexe+1p/4gnbgrezhdr7ox7edx,2013,True,DungHan
b2bc792fxpvaibaexe+1p/4gnbgrefotgueut4wa,1,False,TreHan
ee98de11xpvaibaexe+1p/4gnbgrecmcgsufy/ko,1,True,TreHan
182edddcxpvaibaexe+1p/4gnbgredayjhlzp30b,2013,True,DungHan
f5705943xpvaibaexe+1p/4gnbgreyz1sk9mulny,1,True,TreHan
1d5ec289xpvaibaexe+1p/4gnbgreej2vilzrw72,2013,False,TreHan
fe176735xpvaibaexe+1p/4gnbgreq94nptp4/sd,2013,False,TreHan
