mssv,hocky,namhoc,drl,rank_drl
599dffb8xpvaibaexe879+aog1gh8ljvchsn7o+v,2,2013,59,Trung Binh
fc77e598xpvaibaexe879+aog1gh8pb/q8kzj2a3,2,2013,91,Xuat Sac
51e1c3e0xpvaibaexe+4hxkfaqwuhlp2zzmiiyre,2,2013,93,Xuat Sac
6920b9aaxpvaibaexe83etin4mi2ns6nzhluaihe,2,2013,69,Kha
2f237aa9xpvaibaexe/ykalync3m967dom4wk2ij,2,2013,72,Kha
6aef2ec0xpvaibaexe86736b6ol+/ewtijhvlvrj,2,2013,60,Trung Binh
6f75613cxpvaibaexe8/3inqysorbxrmfjiedct7,2,2013,96,Xuat Sac
41ebf544xpvaibaexe8/3inqysorb+za0ywmmptx,2,2013,86,Gioi
52a13a56xpvaibaexe8y+/3ur2pktbzkglmhndae,2,2013,94,Xuat Sac
45b8d2afxpvaibaexe9jjgnhrmbjfdlsntjouvmt,2,2013,40,Yeu
1dcaca12xpvaibaexe/xbblewrhgqqzvuxc3bpo+,2,2013,94,Xuat Sac
a438e310xpvaibaexe8vekuw4elehh5jz8xkd+ce,2,2013,85,Gioi
57203f91xpvaibaexe9jdlha4z2ghfhvj5vtrj7d,2,2013,100,Xuat Sac
29430069xpvaibaexe+tfgedwynnvuaz/itejr3k,2,2013,88,Gioi
007c275dxpvaibaexe+tfgedwynnveoomoyeyzf6,2,2013,86,Gioi
dec271bcxpvaibaexe8wd3qnvg2b/xsmishc1tc+,2,2013,91,Xuat Sac
6f056d09xpvaibaexe8wd3qnvg2b/t+8k+bg8w0+,2,2013,73,Kha
a51d3e41xpvaibaexe/uh+ehskmsjcnvclj+jkao,2,2013,93,Xuat Sac
39d76a4expvaibaexe8cym7b6gx+tt/q64zsox/+,2,2013,70,Kha
082ca1bdxpvaibaexe9h45nafhfkygxejbiywnsm,2,2013,98,Xuat Sac
1ae2e583xpvaibaexe/x/wixypgyavap4qdisuoz,2,2013,60,Trung Binh
1f7628f8xpvaibaexe9aucnq7/14aoyjtugyani7,2,2013,93,Xuat Sac
d3cf8a69xpvaibaexe9/su+qlcydmsexwfkodzkh,2,2013,71,Kha
578a7225xpvaibaexe8hvnm4ihlelutcwtynaofi,2,2013,81,Gioi
e99e9ea2xpvaibaexe+llvbxzunmjfoikyw9ng8u,2,2013,100,Xuat Sac
6cda0ed7xpvaibaexe+bhzka9xggxss4bhzshgje,2,2013,97,Xuat Sac
edd0f071xpvaibaexe+bhzka9xggxceipjldozcd,2,2013,97,Xuat Sac
0b468fe1xpvaibaexe+fmxcqgvribl7shgq1fhjv,2,2013,78,Kha
ffe9e452xpvaibaexe+6mn9fow2mqxtx1lmtf9+d,2,2013,98,Xuat Sac
702d2cf3xpvaibaexe8ooyk4mkugma64z/ilp3mb,2,2013,91,Xuat Sac
149bdd84xpvaibaexe9ctfsnmbfiz6gm1eejysf8,2,2013,97,Xuat Sac
1167d435xpvaibaexe9ctfsnmbfiz9uo8zwpyxcf,2,2013,81,Gioi
c78522f6xpvaibaexe+phkfqb0+xj+23avlrlh8x,2,2013,93,Xuat Sac
483cdfa0xpvaibaexe97hu2rthdnnngojgyteaj2,2,2013,88,Gioi
f5b93650xpvaibaexe9fwzbwscouqp8xr51qwnx+,2,2013,73,Kha
a71e7b7expvaibaexe+gstdvgy5pdvugtlka9wy2,2,2013,91,Xuat Sac
c5ab8e67xpvaibaexe+5f3nhbx2eh0f3gdayami1,2,2013,89,Gioi
50224f94xpvaibaexe+5f3nhbx2eh5ni5dxxafso,2,2013,81,Gioi
4ec92ea7xpvaibaexe+5f3nhbx2eh0dmegx78u1l,2,2013,100,Xuat Sac
b2204322xpvaibaexe/sxwnrab2vgcfsjdisx+gc,2,2013,89,Gioi
0375f69fxpvaibaexe9jdumjpcat8kzhyz2esjwx,2,2013,87,Gioi
acc4d198xpvaibaexe+5ocrqpdkxspskzr6r2sfg,2,2013,79,Kha
7de2e094xpvaibaexe/ji2wenvgp6jb8dx018brq,2,2013,95,Xuat Sac
e4f6a5ffxpvaibaexe9vickmsmm7n5m0ui4qc0hk,2,2013,80,Gioi
b9affcd3xpvaibaexe/hrmbtv6rchjtxlyp5ncef,2,2013,94,Xuat Sac
04ad9652xpvaibaexe/6muscaequc/hrmbsgyb6e,2,2013,24,Kem
29046716xpvaibaexe83v/kfvw2bbr3wivsbjf7n,2,2013,98,Xuat Sac
62654f5dxpvaibaexe9jjgnhrmbjfpizxxezlnxy,2,2013,98,Xuat Sac
cf209e4fxpvaibaexe+/ekvxk98kbblh+jmugkhh,2,2013,76,Kha
fe7e4cc2xpvaibaexe8wmpkqnq7j6ih9r01kvehg,2,2013,83,Gioi
a465b59bxpvaibaexe99goti/hwjhtcvzihi+eic,2,2013,70,Kha
f832105bxpvaibaexe+cd1fkelqxl8dha7yinstm,2,2013,69,Kha
8719aff0xpvaibaexe+cd1fkelqxlxhcg1eahaje,2,2013,56,Trung Binh
c47110efxpvaibaexe/pgaannwvbuf95kjjbq6bs,2,2013,87,Gioi
8219ea1dxpvaibaexe/pgaannwvbuawbugiapcg8,2,2013,68,Kha
a2a984f7xpvaibaexe9x5bpekoa0mp7uv1irtaed,2,2013,72,Kha
cb86cee4xpvaibaexe83etin4mi2njakllhqpqif,2,2013,100,Xuat Sac
ae78a5c2xpvaibaexe+yu1j0ocviqv7up2ksrfnx,2,2013,60,Trung Binh
ead40691xpvaibaexe+wmtnhlfgiwtb87ctjmzyb,2,2013,59,Trung Binh
2c674c46xpvaibaexe8y+/3ur2pktognxs8ofvnz,2,2013,54,Trung Binh
a7916d60xpvaibaexe+nzbq3b0xehxdvky778k5c,2,2013,60,Trung Binh
6ebfac96xpvaibaexe/xbblewrhgqxino9yzvs2d,2,2013,80,Gioi
3b334337xpvaibaexe+9gfx9awrorphzn84kn1g3,2,2013,73,Kha
9a84bbe7xpvaibaexe8ydgsbcmjqa6hvcbpa5sda,2,2013,54,Trung Binh
dafce097xpvaibaexe+z7kfnhylttksb/kdm5tuz,2,2013,91,Xuat Sac
ebb79892xpvaibaexe99goti/hwjhdmd8xez4jnd,2,2013,99,Xuat Sac
931c7551xpvaibaexe9ystifngomwrbirvzkrprw,2,2013,100,Xuat Sac
a05f7b75xpvaibaexe97hu2rthdnnats1tmydhsj,2,2013,55,Trung Binh
4afe5a8expvaibaexe9mlbi3ccq2bmqcbjt1z6h0,2,2013,89,Gioi
4185501cxpvaibaexe9hkuc7sboljiazpw2a5afk,2,2013,89,Gioi
a3aa35cexpvaibaexe9hkuc7sboljovythh2eau+,2,2013,68,Kha
2f7887f7xpvaibaexe/bqa0y8r3trdledx8jxg9h,2,2013,100,Xuat Sac
1a44afdbxpvaibaexe9bx5czuia9z94nqdrzpjbc,2,2013,100,Xuat Sac
