mssv,drl_1,drl_2,drl_3,drl_4,drl_5,drl_6
0001eb57xpvaibaexe/twt+sf632fuxnsgpgeb4g,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac
00046394xpvaibaexe+fmxcqgvribect4ymjhsfd,Gioi,Kha,Kha,Xuat Sac,Kha,Kha
000ad0d8xpvaibaexe+rqyzpp6sq6qqipzxybx3q,Gioi,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac
0013d6e5xpvaibaexe85hklgqajy3xgk9pa18a31,Xuat Sac,Xuat Sac,Xuat Sac,Kha,Gioi,Xuat Sac
0018c59cxpvaibaexe8c3lblh2dnnih+syglosua,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac,Xuat Sac
001bb05expvaibaexe/ykalync3m92bzm+vhzyc0,Trung Binh,Kha,Kha,Yeu,Kem,Kem
001e045bxpvaibaexe+n07p56kwx2n6eoocujba4,Gioi,Kha,Kha,Trung Binh,Trung Binh,Kha
00256ca6xpvaibaexe9zbno1fewqmfc0mu/9tlfg,Xuat Sac,Gioi,Gioi,Gioi,Xuat Sac,Gioi
0034a080xpvaibaexe/zkcdd4jxtlli2qexrwqvr,Kha,Gioi,Trung Binh,Trung Binh,Trung Binh,Trung Binh
004ba243xpvaibaexe/ycv++riavqmd2sffz4koh,Kha,Kha,Trung Binh,Trung Binh,Kha,Kha
004e12b9xpvaibaexe81r7krch0uc0uxbtobw4bg,Gioi,Kha,Kha,Kha,Gioi,Trung Binh
005116e7xpvaibaexe8vdv75e6kcrk07zn1wf/t8,Kha,Trung Binh,Kha,Trung Binh,Trung Binh,Kem
005663c0xpvaibaexe9fg4hjuy856wujpfu+wrio,Gioi,Kha,Kha,Kha,Gioi,Gioi
005d6433xpvaibaexe9jj0deqozv6jkd0bjupbna,Kha,Kha,Xuat Sac,Gioi,Gioi,Xuat Sac
0063dc77xpvaibaexe+9uxuadizyik3mvzbgbsu+,Xuat Sac,Trung Binh,Kha,Kha,Kha,Trung Binh
00682f91xpvaibaexe+7ujh0ad4oah9stirsced+,Gioi,Xuat Sac,Gioi,Gioi,Kha,Xuat Sac
