mssv,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6
0001eb57xpvaibaexe/twt+sf632fuxnsgpgeb4g,8.84,9.0,9.11,8.75,8.54,8.74
00046394xpvaibaexe+fmxcqgvribect4ymjhsfd,5.41,7.26,6.36,8.32,7.86,8.09
000ad0d8xpvaibaexe+rqyzpp6sq6qqipzxybx3q,8.85,8.64,8.41,8.05,7.46,7.28
0013d6e5xpvaibaexe85hklgqajy3xgk9pa18a31,8.31,8.14,7.01,7.87,8.04,8.89
0018c59cxpvaibaexe8c3lblh2dnnih+syglosua,7.96,8.04,6.91,8.49,8.85,7.4
001bb05expvaibaexe/ykalync3m92bzm+vhzyc0,3.77,5.64,4.36,1.26,,
001e045bxpvaibaexe+n07p56kwx2n6eoocujba4,6.58,1.9,7.16,3.42,1.1,6.27
00256ca6xpvaibaexe9zbno1fewqmfc0mu/9tlfg,8.21,9.34,7.93,7.92,8.89,8.63
0034a080xpvaibaexe/zkcdd4jxtlli2qexrwqvr,4.99,4.42,5.26,5.63,3.63,2.54
004ba243xpvaibaexe/ycv++riavqmd2sffz4koh,6.86,5.51,4.85,4.58,3.69,0.0
004e12b9xpvaibaexe81r7krch0uc0uxbtobw4bg,4.16,3.41,3.53,2.43,2.96,1.21
005116e7xpvaibaexe8vdv75e6kcrk07zn1wf/t8,5.15,3.53,5.7,3.32,3.89,2.38
005663c0xpvaibaexe9fg4hjuy856wujpfu+wrio,8.61,8.6,8.11,8.92,6.1,8.72
005d6433xpvaibaexe9jj0deqozv6jkd0bjupbna,8.02,6.92,8.55,7.32,8.25,8.75
0063dc77xpvaibaexe+9uxuadizyik3mvzbgbsu+,6.87,4.14,3.25,4.93,2.2,3.34
00682f91xpvaibaexe+7ujh0ad4oah9stirsced+,7.33,7.44,7.29,7.35,6.19,6.88
006b0a45xpvaibaexe+tzke2gc8nuj96gtn+8bxy,6.82,7.06,7.73,7.42,7.63,8.6
006e432expvaibaexe8ugnmjaszg8pbqboa4rewl,6.35,6.97,7.15,7.29,7.22,6.98
007b0a19xpvaibaexe/ueorkxzagrmodz65jligt,7.82,7.08,7.71,7.73,6.97,6.74
007c275dxpvaibaexe+tfgedwynnveoomoyeyzf6,6.73,6.52,7.35,6.7,8.07,8.22
0085722bxpvaibaexe/baq/wvvlh/v1e0jmnremc,5.99,5.63,4.73,5.99,6.48,7.54
