mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh,tinhtrang,nambd
be375baaxpvaibaexe9jdlha4z2ghj3/pvstcxr2,1995.0,1.0,hồ chí minh,ktpm0001,cnpm,cqui,8.0,d480103,3.0,2013.0
2420ed57xpvaibaexe/lh6v1xxtkja6jlfrupklm,1995.0,1.0,đồng tháp,httt0001,httt,cttt,8.0,d480104,3.0,2013.0
83b76c01xpvaibaexe/loccskaoio2k46r7t4qnt,1994.0,1.0,hà nam,khmt2013,khmt,cqui,8.0,d480101,5.0,2013.0
91f785abxpvaibaexe/loccskaoio5y4gbvvurqu,1995.0,1.0,hồ chí minh,httt0001,httt,cttt,8.0,d480104,3.0,2013.0
007c275dxpvaibaexe+tfgedwynnveoomoyeyzf6,1995.0,1.0,hồ chí minh,mmtt0001,mmt&tt,cqui,8.0,d480201,8.0,2013.0
4d1054a2xpvaibaexe8wd3qnvg2b/av/yyzs56/d,1995.0,0.0,hà tĩnh,ktpm0001,cnpm,cqui,8.0,d480103,3.0,2013.0
ae78a5c2xpvaibaexe+yu1j0ocviqv7up2ksrfnx,1995.0,1.0,thanh hoá,mmtt0001,mmt&tt,cqui,8.0,d480201,8.0,2013.0
c6114925xpvaibaexe/bn5cqsu92wepawyzsqola,1995.0,1.0,quảng ngãi,httt0001,httt,cqui,8.0,d480104,3.0,2013.0
eaa0b693xpvaibaexe99j2p15eeb04xwhz0tzli4,1994.0,1.0,hồ chí minh,khmt0001,khmt,cqui,8.0,d480101,3.0,2013.0
01cd0fe9xpvaibaexe/ykn5ysyyl7c/lvirfhl6k,1993.0,1.0,khánh hoà,khtn2013,khmt,cntn,8.0,d480101,5.0,2013.0
9c8782a5xpvaibaexe9lf2o7vejwnskij3b/kh8y,1995.0,1.0,khánh hoà,mmtt0001,mmt&tt,cqui,8.0,d480102,3.0,2013.0
4dd248d9xpvaibaexe+6mn9fow2mqelov0tjpgtd,1995.0,1.0,cần thơ,mtcl2013,ktmt,clc,8.0,d520214,3.0,2013.0
ff601afcxpvaibaexe93peysajovk+or7t0uzryf,1991.0,1.0,khánh hoà,cntt2013,kttt,cqui,8.0,d480201,3.0,2013.0
f257be3expvaibaexe+lo6ejkhwaqx9v5oomnekz,1995.0,1.0,khánh hoà,ktpm0001,cnpm,cqui,8.0,d480103,3.0,2013.0
933c1fd5xpvaibaexe9m021ivaawilpvfi2513m9,1995.0,0.0,gia lai,ktpm2013,cnpm,cqui,8.0,d480103,3.0,2013.0
c29ea000xpvaibaexe8jolcsaisstlksqecu+uyk,1995.0,1.0,tiền giang,mmtt0001,mmt&tt,cqui,8.0,d480102,3.0,2013.0
931c7551xpvaibaexe9ystifngomwrbirvzkrprw,1995.0,1.0,vĩnh long,antt2013,mmt&tt,cqui,8.0,d480201,5.0,2013.0
7081fe0axpvaibaexe/wso41+3xfkbwpg5irjavv,1995.0,1.0,hồ chí minh,ktmt2013,ktmt,cqui,8.0,d520214,3.0,2013.0
1144c476xpvaibaexe/fejqn8/s5fmtebtq6dfpo,1995.0,1.0,hồ chí minh,khmt2013,khmt,cqui,8.0,d480101,3.0,2013.0
e80cfc67xpvaibaexe+fmxcqgvribas3hmtuylgw,1995.0,0.0,bình dương,mmtt0001,mmt&tt,cqui,8.0,d480102,3.0,2013.0
59cd26eexpvaibaexe8wlx2/dthdaummtwfxvmcu,1994.0,1.0,hồ chí minh,mmtt0001,mmt&tt,cqui,8.0,d480102,8.0,2013.0
add6626axpvaibaexe/sxwnrab2vgdj3jmkixwre,1995.0,1.0,kiên giang,khmt0001,khmt,cqui,8.0,d480101,3.0,2013.0
4afe5a8expvaibaexe9mlbi3ccq2bmqcbjt1z6h0,1995.0,1.0,lâm đồng,antt2013,mmt&tt,cqui,8.0,d480299,3.0,2013.0
809877dcxpvaibaexe8/3inqysorb/0vloiti8og,1994.0,1.0,hồ chí minh,pmcl2013,cnpm,clc,8.0,d480103,3.0,2013.0
c4b57b74xpvaibaexe+wmtnhlfgiwrntvgutcknx,1995.0,1.0,hải dương,mmtt0001,mmt&tt,cqui,8.0,d480102,8.0,2013.0
f0d55309xpvaibaexe9jdumjpcat8jvbqjams4ky,1995.0,1.0,lâm đồng,khmt2013,khmt,cqui,8.0,d480101,5.0,2013.0
c47110efxpvaibaexe/pgaannwvbuf95kjjbq6bs,1995.0,1.0,kiên giang,antt2013,mmt&tt,cqui,8.0,d480299,3.0,2013.0
074d8586xpvaibaexe8s1xx8dwm0qvmydwkqi9z8,1995.0,1.0,trà vinh,mmtt0001,mmt&tt,cqui,8.0,d480299,3.0,2013.0
fe92b059xpvaibaexe9e+kue/nfliskxeugpimay,1995.0,0.0,hồ chí minh,ktpm0001,cnpm,cqui,8.0,d480103,3.0,2013.0
c57530a4xpvaibaexe8hvnm4ihlelvtcbud7ztlv,1995.0,0.0,hồ chí minh,mmtt2013,mmt&tt,cqui,8.0,d480102,5.0,2013.0
3e479342xpvaibaexe+kwir/vxjl01d1beeukzan,1995.0,1.0,nam định,ktpm0001,cnpm,cqui,8.0,d480103,5.0,2013.0
601e0986xpvaibaexe+y4ivhjp8sxpmss9jvmguu,1995.0,1.0,hồ chí minh,ktmt0001,ktmt,cqui,8.0,d520214,3.0,2013.0
e210aa8expvaibaexe/asavnwdrs7euzuteqhaql,1995.0,1.0,hồ chí minh,mmtt2013,mmt&tt,cqui,8.0,d480102,5.0,2013.0
5b67ff77xpvaibaexe/sxwnrab2vghqoisebh7by,1995.0,1.0,quảng nam,ktmt0001,ktmt,cqui,8.0,d520214,3.0,2013.0
a71e7b7expvaibaexe+gstdvgy5pdvugtlka9wy2,1995.0,1.0,hải dương,mmtt0001,mmt&tt,cqui,8.0,d480299,8.0,2013.0
9cb66503xpvaibaexe9e+kue/nflivhlsaedjpcv,1995.0,1.0,bình thuận,cntt0001,kttt,cqui,8.0,d480201,3.0,2013.0
a406e7fdxpvaibaexe/xbblewrhgqyqrazwms21c,1995.0,1.0,hồ chí minh,ktmt0001,ktmt,cqui,8.0,d520214,3.0,2013.0
6e67eb19xpvaibaexe/x/wixypgyast5qiaayiqu,1995.0,1.0,trà vinh,mmtt0001,mmt&tt,cqui,8.0,d480102,3.0,2013.0
62200a76xpvaibaexe9/su+qlcydmsqrq0km5nhu,1995.0,1.0,quảng bình,khmt2013,khmt,cqui,8.0,d480101,3.0,2013.0
0cbe4487xpvaibaexe+fmxcqgvribaaiapdgkorx,1995.0,1.0,hồ chí minh,cttt2013,httt,cttt,8.0,d480104,5.0,2013.0
2441a7c2xpvaibaexe8vekuw4elehn5inkxockf2,1995.0,1.0,quảng ngãi,ktpm0001,cnpm,clc,8.0,d480103,3.0,2013.0
c76005a8xpvaibaexe/x/wixypgyag54zpujwgey,1995.0,1.0,lâm đồng,httt2013,httt,cqui,8.0,d480104,3.0,2013.0
52e66659xpvaibaexe/7sxkigc7f5zukr2wlnro3,1995.0,1.0,quảng ngãi,ktmt0001,ktmt,cqui,8.0,d520214,8.0,2013.0
516d213cxpvaibaexe9jdumjpcat8sqifwybartw,1995.0,1.0,quảng ngãi,httt2013,httt,cqui,8.0,d480104,5.0,2013.0
41ebf544xpvaibaexe8/3inqysorb+za0ywmmptx,1995.0,1.0,lâm đồng,mmtt0001,mmt&tt,cqui,8.0,d480299,5.0,2013.0
6eb4408fxpvaibaexe+cd1fkelqxl06nwb8jxnux,1995.0,1.0,lâm đồng,httt2013,httt,cqui,8.0,d480104,5.0,2013.0
b5953d10xpvaibaexe+bhzka9xggxwnkm2l+acxt,1995.0,1.0,quảng ngãi,khmt2013,khmt,cqui,8.0,d480101,3.0,2013.0
baa21e56xpvaibaexe9xnw4t0gpgx5ergjwy9ide,1994.0,1.0,hồ chí minh,mmtt0001,mmt&tt,cqui,8.0,d480102,5.0,2013.0
b3078280xpvaibaexe9kdsvv3crkmr3thedfuzst,1995.0,1.0,quảng ngãi,mmtt2013,mmt&tt,cqui,8.0,d480102,5.0,2013.0
2abbe719xpvaibaexe9hpqqhqoopyuj9wju9hlcm,1995.0,1.0,bến tre,httt2013,httt,cqui,8.0,d480104,3.0,2013.0
aa971f36xpvaibaexe+fmxcqgvriba5vxtc+v0/y,1995.0,1.0,hồ chí minh,ktmt2013,ktmt,cqui,8.0,d520214,5.0,2013.0
cd84523expvaibaexe+llvbxzunmja9yrcwsmo7a,1995.0,1.0,hồ chí minh,pmcl2013,cnpm,clc,8.0,d480103,5.0,2013.0
cd52678bxpvaibaexe97hu2rthdnnha5e5dkdc+d,1995.0,1.0,đồng tháp,ktpm2013,cnpm,cqui,8.0,d480103,3.0,2013.0
