mssv,dien_tt,lop12_matinh,truong_thpt
7e308531xpvaibaexe879+aog1gh8i58q/vmq7ru,thpt,53.0,thpt
0fcb6532xpvaibaexe879+aog1gh8o0eeqcyq8hr,thpt,16.0,thpt
baf446bfxpvaibaexe879+aog1gh8uqreauqa0ag,thpt,42.0,thpt
599dffb8xpvaibaexe879+aog1gh8ljvchsn7o+v,thpt,51.0,thpt
364b9e9bxpvaibaexe879+aog1gh8srvdbmzsixe,thpt,52.0,gdtx
bbad4f2bxpvaibaexe879+aog1gh8vgaqyz3wjar,thpt,2.0,thpt
88c15831xpvaibaexe879+aog1gh8umwwp9sxqnj,thpt,2.0,thpt
fc77e598xpvaibaexe879+aog1gh8pb/q8kzj2a3,thpt,33.0,chuyên
9e9a38aexpvaibaexe879+aog1gh8jbg5ccj9ksf,thpt,54.0,thpt
140e6c4cxpvaibaexe/asavnwdrs7te/6fhn3jz9,thpt,36.0,thpt
a6ea9f79xpvaibaexe/asavnwdrs7dxihpgvggph,thpt,57.0,thpt
f9ad085cxpvaibaexe/asavnwdrs7ejs/e1rgnuq,thpt,46.0,gdtx
b1460568xpvaibaexe/asavnwdrs7f+ampj9kbjl,thpt,45.0,thpt
e210aa8expvaibaexe/asavnwdrs7euzuteqhaql,thpt,3.0,thpt
32ca7383xpvaibaexe/asavnwdrs7w3j9+tve5zi,thpt,48.0,thpt
85a1ef64xpvaibaexe/asavnwdrs7adwg/eutygp,thpt,2.0,thpt
e68386bcxpvaibaexe/asavnwdrs7bt1mwa0tqq/,thpt,48.0,thpt
786be3ebxpvaibaexe/asavnwdrs7uaj1ytnlmwy,thpt,54.0,thpt
f585674dxpvaibaexe93peysajovk6t3muzthkox,thpt,55.0,thpt
9095eee4xpvaibaexe93peysajovk2korjqcpxlr,thpt,48.0,thpt
246bfb8axpvaibaexe93peysajovk7f1tlf/mfro,thpt,2.0,thpt
9593c5a1xpvaibaexe93peysajovkwygf+owqhpe,thpt,47.0,chuyên
b652e11dxpvaibaexe93peysajovkyjm7attknby,thpt,42.0,thpt
d563be5expvaibaexe93peysajovk29beikxuhf+,thpt,47.0,thpt
98247e19xpvaibaexe93peysajovkxsz+hiviyyj,thpt,55.0,thpt
ff601afcxpvaibaexe93peysajovk+or7t0uzryf,thpt,41.0,thpt
94d07c75xpvaibaexe93peysajovk2ldmz8hmbbn,thpt,2.0,thpt
33472657xpvaibaexe8ge2uhv4j4bweoqnnp7n/7,thpt,2.0,thpt
04f89839xpvaibaexe8ge2uhv4j4b7n8hgeptcln,thpt,41.0,thpt
4cd37f46xpvaibaexe8ge2uhv4j4byyo6uzlkm42,thpt,44.0,thpt
c1a9fd65xpvaibaexe8ge2uhv4j4bztlfcscqmww,thpt,29.0,thpt
5236793dxpvaibaexe8ge2uhv4j4b3ck3m4mi0jb,thpt,35.0,thpt
7caaee6bxpvaibaexe8ge2uhv4j4b+kfxfdub6ad,thpt,37.0,thpt
97ce096expvaibaexe8ge2uhv4j4b99t3e9bmk5q,thpt,2.0,thpt
1ce4cdb2xpvaibaexe8ge2uhv4j4bys1gt3otwsa,thpt,2.0,thpt
24dc3d8axpvaibaexe8ge2uhv4j4b18quy8ruyi8,thpt,33.0,thpt
6e479e37xpvaibaexe+1p/4gnbgres61me4ezb4e,thpt,44.0,thpt
13d944e0xpvaibaexe+1p/4gnbgrezhdr7ox7edx,thpt,2.0,thpt
b2bc792fxpvaibaexe+1p/4gnbgrefotgueut4wa,thpt,28.0,khác
ee98de11xpvaibaexe+1p/4gnbgrecmcgsufy/ko,thpt,47.0,thpt
182edddcxpvaibaexe+1p/4gnbgredayjhlzp30b,thpt,2.0,thpt
f5705943xpvaibaexe+1p/4gnbgreyz1sk9mulny,thpt,37.0,thpt
1d5ec289xpvaibaexe+1p/4gnbgreej2vilzrw72,thpt,42.0,thpt
fe176735xpvaibaexe+1p/4gnbgreq94nptp4/sd,thpt,2.0,thpt
b35c4d81xpvaibaexe+4hxkfaqwuhmpsx+ypsjqx,thpt,31.0,chuyên
58e06bd3xpvaibaexe+4hxkfaqwuhil+w/2ugtml,thpt,52.0,thpt
0a2744acxpvaibaexe+4hxkfaqwuhjdfgwekvxxz,thpt,48.0,thpt
51e1c3e0xpvaibaexe+4hxkfaqwuhlp2zzmiiyre,thpt,42.0,thpt
bdedd44dxpvaibaexe+4hxkfaqwuhaqgsgtqeios,thpt,2.0,thpt
bc40ef90xpvaibaexe+4hxkfaqwuhcn4cgcxf0tj,thpt,2.0,thpt
a70f6eccxpvaibaexe+4hxkfaqwuhgfmu3pmgcng,thpt,2.0,thpt
530fe4e9xpvaibaexe+4hxkfaqwuhfselpa2njhn,thpt,53.0,thpt
3e756495xpvaibaexe9p07hcrvmhca0nlhgm6qsn,thpt,35.0,thpt
5e4374b1xpvaibaexe9p07hcrvmhccxtnaknc9wy,thpt,47.0,thpt
53d6b6a5xpvaibaexe9p07hcrvmhcdwevna10bwl,thpt,50.0,thpt
0d5828baxpvaibaexe9p07hcrvmhcf8zveiq5xwl,thpt,39.0,thpt
981c7989xpvaibaexe9p07hcrvmhccxhupzwlaj2,thpt,47.0,thpt
f8e79c58xpvaibaexe9p07hcrvmhcrobnyhyqd/n,thpt,40.0,thpt
538fdefexpvaibaexe9p07hcrvmhce3unm2xvnxe,thpt,52.0,thpt
8b7499d5xpvaibaexe9p07hcrvmhccn1vuplzj5m,thpt,48.0,thpt
9d24935axpvaibaexe9p07hcrvmhcak9iqtze/ls,thpt,2.0,thpt
0f6fd99fxpvaibaexe9hpqqhqoopydgyikrryin1,thpt,43.0,thpt
64e9fde3xpvaibaexe9hpqqhqoopystw/r4lohbb,thpt,2.0,chuyên
31344271xpvaibaexe9hpqqhqoopyq/t6/ypd1bo,thpt,48.0,thpt
0ecfdce2xpvaibaexe9hpqqhqoopyenrltjjylmh,thpt,35.0,gdtx
83845261xpvaibaexe9hpqqhqoopyyvq0zhwjv2w,thpt,2.0,thpt
02fa9b28xpvaibaexe9hpqqhqoopyx9isjjx1yiu,thpt,29.0,thpt
952c9bd7xpvaibaexe9hpqqhqoopyvkufzf5blys,thpt,2.0,thpt
76cacacbxpvaibaexe9hpqqhqoopyv0cvrwnupgz,thpt,28.0,gdtx
2abbe719xpvaibaexe9hpqqhqoopyuj9wju9hlcm,thpt,42.0,thpt
f832105bxpvaibaexe+cd1fkelqxl8dha7yinstm,thpt,25.0,thpt
209dffa3xpvaibaexe+cd1fkelqxl0w/ciugdc4i,thpt,2.0,thpt
2527bab9xpvaibaexe+cd1fkelqxl9jgstboq3t8,thpt,35.0,thpt
3e437e83xpvaibaexe+cd1fkelqxl3amjmxrtddl,thpt,37.0,thpt
e997d336xpvaibaexe+cd1fkelqxl3gg+iexlrll,thpt,47.0,thpt
6eb4408fxpvaibaexe+cd1fkelqxl06nwb8jxnux,thpt,42.0,thpt
4d645550xpvaibaexe+cd1fkelqxl9313y/yapxl,thpt,42.0,thpt
47140b5bxpvaibaexe+cd1fkelqxl341hodw+e7i,thpt,30.0,thpt
8719aff0xpvaibaexe+cd1fkelqxlxhcg1eahaje,thpt,34.0,thpt
85ab9a11xpvaibaexe+cd1fkelqxl3rmzzdf2nuw,thpt,25.0,thpt
a0cbac25xpvaibaexe/pgaannwvbuig+w572qfzr,thpt,2.0,thpt
d39ebba2xpvaibaexe/pgaannwvbuh5ucb2oerfm,thpt,38.0,thpt
c47110efxpvaibaexe/pgaannwvbuf95kjjbq6bs,thpt,54.0,thpt
479e77a5xpvaibaexe/pgaannwvbunsider/n3m6,thpt,2.0,thpt
8219ea1dxpvaibaexe/pgaannwvbuawbugiapcg8,thpt,44.0,thpt
5b6eee16xpvaibaexe/pgaannwvbukb+697alta7,thpt,31.0,chuyên
4bf55c16xpvaibaexe/pgaannwvbulyxtwnjnzcf,thpt,2.0,thpt
d8b81312xpvaibaexe/pgaannwvbuifmrv3br2wn,thpt,2.0,thpt
a0e35b97xpvaibaexe/pgaannwvbugqebtzipkbn,thpt,41.0,thpt
5e0fc4ebxpvaibaexe/pgaannwvbuczkileflh7i,thpt,63.0,thpt
2d110b13xpvaibaexe+lo6ejkhwaqqmgtsf0se6i,thpt,43.0,gdtx
8688239bxpvaibaexe+lo6ejkhwaqdxlz0hnoymx,thpt,2.0,thpt
d06a6062xpvaibaexe+lo6ejkhwaqfw61nrig7m4,thpt,56.0,thpt
8dd54882xpvaibaexe+lo6ejkhwaqfudan2pbvrw,thpt,2.0,thpt
553f83d0xpvaibaexe+lo6ejkhwaqxmbzakiceyv,thpt,2.0,chuyên
f257be3expvaibaexe+lo6ejkhwaqx9v5oomnekz,thpt,41.0,thpt
4d3a7564xpvaibaexe+lo6ejkhwaqxs675wwbm48,thpt,50.0,chuyên
51bd86dfxpvaibaexe+lo6ejkhwaqbdd3ainskar,thpt,52.0,thpt
c83a25dcxpvaibaexe9x5bpekoa0mpwrb2a9cxkr,thpt,63.0,thpt
a2a984f7xpvaibaexe9x5bpekoa0mp7uv1irtaed,thpt,51.0,thpt
91c557bbxpvaibaexe9x5bpekoa0mhzvi3xnxife,thpt,2.0,thpt
0e631785xpvaibaexe9x5bpekoa0mgpwttwg2rv7,thpt,2.0,thpt
85fa5549xpvaibaexe9x5bpekoa0msfo9rqkadmb,thpt,44.0,thpt
5032dd33xpvaibaexe9x5bpekoa0mil88xvsir4r,thpt,31.0,thpt
49daaf86xpvaibaexe9x5bpekoa0mvchmz6rxbhe,thpt,35.0,thpt
9a277123xpvaibaexe9x5bpekoa0mmvf3uziq5oi,thpt,47.0,thpt
da4648baxpvaibaexe8ckeix0kseehu30caak2wt,thpt,56.0,thpt
4bbc8929xpvaibaexe8ckeix0kseec2d6tqzpwfy,thpt,51.0,thpt
0df7e48fxpvaibaexe8ckeix0kseel2w5fd8xm6m,thpt,41.0,thpt
0d5f945expvaibaexe8ckeix0kseemkbwidrc9so,thpt,49.0,thpt
93a9cf9cxpvaibaexe8ckeix0kseebrxpslhxsvc,thpt,35.0,thpt
e4b6df8fxpvaibaexe8ckeix0kseeovnfnmexxan,thpt,38.0,thpt
1ad297ddxpvaibaexe8ckeix0kseeaegfbwnr/en,thpt,28.0,thpt
6ecc84e3xpvaibaexe80ggmwunektx6palidxbtb,thpt,41.0,chuyên
d3602269xpvaibaexe80ggmwunekt3wj11uigulq,thpt,48.0,thpt
302c659fxpvaibaexe80ggmwunekt9hqe57p7s6c,thpt,53.0,thpt
