mssv,xeploai,ngaycapvb
e95e7c6dxpvaibaexe+1j/aqdkpm22dhf6p99fdj,khá,14/04/2017
d0fe4969xpvaibaexe/yxikgsgy0slcmj5ekt6ki,giỏi,06/10/2017
40f7e8d0xpvaibaexe+nzbq3b0xehfcwxlmoc4pj,giỏi,06/10/2017
0a049f45xpvaibaexe9ctfsnmbfiz9qe7i0fu4my,khá,06/10/2017
7a7166daxpvaibaexe83v/kfvw2bbz0o/kvhzc30,khá,06/10/2017
a94c53d3xpvaibaexe9ctfsnmbfizwaq8b7n0srn,khá,06/10/2017
786be3ebxpvaibaexe/asavnwdrs7uaj1ytnlmwy,khá,06/10/2017
6b2f14ccxpvaibaexe+wmtnhlfgiwsa71h+ulll3,khá,06/10/2017
62200a76xpvaibaexe9/su+qlcydmsqrq0km5nhu,khá,06/10/2017
c63071c5xpvaibaexe9jdlha4z2ghbvva1gnfpuj,khá,06/10/2017
5c5b33ccxpvaibaexe9h45nafhfkyqqse6ojtu2d,khá,06/10/2017
ef14b804xpvaibaexe+sfu1lch9y3xwta18hz849,khá,06/10/2017
be78dae0xpvaibaexe/zhdidegqctousgjsnns/s,khá,06/10/2017
4519669fxpvaibaexe/uh+ehskmsjbkx7ngvlc1q,khá,06/10/2017
abaa6224xpvaibaexe/bn5cqsu92wenvqensra2a,khá,06/10/2017
932c10eaxpvaibaexe/ji2wenvgp6dccirs4gipu,khá,06/10/2017
58dec626xpvaibaexe99goti/hwjhc7snqn4+/pa,khá,06/10/2017
a7480f67xpvaibaexe/loccskaoio75myb5p3ldq,khá,06/10/2017
6f5d342axpvaibaexe9esuilq3v71r5onvjoxxzk,khá,06/10/2017
eb87a112xpvaibaexe+yu1j0ocviqsbxkj24nkqq,khá,06/10/2017
209dffa3xpvaibaexe+cd1fkelqxl0w/ciugdc4i,khá,06/10/2017
17946c80xpvaibaexe9lf2o7vejwnojr7ptzczwm,khá,06/10/2017
844fc6f6xpvaibaexe+y5cb/5gt3mjxemi5bzkp2,khá,06/10/2017
b9080b55xpvaibaexe+suupvsau/o8tqjy01eqyx,khá,06/10/2017
b0446b28xpvaibaexe+5f3nhbx2ehwi8gk1nbg8j,khá,06/10/2017
7f8e6556xpvaibaexe/bn5cqsu92ww9hsgwhnu8h,khá,06/10/2017
b981e9e5xpvaibaexe9e+kue/nflid9nvxqobgkv,trung bình khá,06/10/2017
8bd66de8xpvaibaexe9bx5czuia9z4lpytw5t9ft,trung bình khá,06/10/2017
00bce333xpvaibaexe9upvu5dvuc9h+k5waa2xcn,trung bình khá,06/10/2017
2c9e3006xpvaibaexe+1j/aqdkpm2yvdjmi0fdgl,khá,06/10/2017
ebc8a649xpvaibaexe+fmxcqgvribibosp1tokmg,giỏi,06/10/2017
2abbe719xpvaibaexe9hpqqhqoopyuj9wju9hlcm,giỏi,07/11/2017
c307f053xpvaibaexe+nzbq3b0xehx8pabyu6iv1,khá,06/10/2017
f99ce6dexpvaibaexe86736b6ol+/o3zqu1aw1/c,khá,06/10/2017
7134f004xpvaibaexe9esuilq3v71iw9jk0tchgd,khá,06/10/2017
90324570xpvaibaexe9xnw4t0gpgxzbh5j/jtjdb,khá,06/10/2017
e69e5181xpvaibaexe+y5cb/5gt3mfjmq2+4vhk0,trung bình khá,06/10/2017
0ecfdce2xpvaibaexe9hpqqhqoopyenrltjjylmh,giỏi,06/10/2017
9c9d7b29xpvaibaexe9aucnq7/14aosz4ivyo2l6,khá,06/10/2017
9095eee4xpvaibaexe93peysajovk2korjqcpxlr,khá,06/10/2017
b9e5d259xpvaibaexe8vekuw4elehsnoqnbpmwk3,khá,06/10/2017
25c15555xpvaibaexe9m021ivaawigned3/1o2wj,khá,06/10/2017
d8b81312xpvaibaexe/pgaannwvbuifmrv3br2wn,khá,06/10/2017
134b0e11xpvaibaexe+sfu1lch9y3wqzt5giecfn,trung bình khá,06/10/2017
ffe9e452xpvaibaexe+6mn9fow2mqxtx1lmtf9+d,giỏi,21/11/2017
6cda0ed7xpvaibaexe+bhzka9xggxss4bhzshgje,khá,21/11/2017
edd0f071xpvaibaexe+bhzka9xggxceipjldozcd,khá,21/11/2017
acc4d198xpvaibaexe+5ocrqpdkxspskzr6r2sfg,khá,21/11/2017
02c4644fxpvaibaexe+wmtnhlfgiwhu0vsxu3tyn,khá,21/11/2017
eb088421xpvaibaexe9aucnq7/14amv4g9ksrfjr,khá,06/10/2017
c06d6804xpvaibaexe/loccskaoiozn1wuehqe1s,khá,06/10/2017
90db40ebxpvaibaexe8vekuw4elehq65j34d9pks,khá,06/10/2017
68e760bfxpvaibaexe8ooyk4mkugmptfj8yrjfyr,khá,06/10/2017
a20f7e4axpvaibaexe9jdumjpcat8ihevy7upjj3,khá,06/10/2017
12c24162xpvaibaexe9xnw4t0gpgx9k2sclxkxkl,khá,06/10/2017
6668d44axpvaibaexe99goti/hwjhanr/t567sdc,khá,21/11/2017
9fc490d1xpvaibaexe/v2df0qjs8bfjmcaagrayd,khá,06/10/2017
0d5f945expvaibaexe8ckeix0kseemkbwidrc9so,khá,06/10/2017
535ee7d3xpvaibaexe9/su+qlcydmqv4b2iju0yp,trung bình khá,06/10/2017
0113b184xpvaibaexe+tfgedwynnvzzmdvygpoeh,trung bình khá,06/10/2017
ec288a3axpvaibaexe/6muscaequc0/hywqgrten,trung bình khá,06/10/2017
8a298ecaxpvaibaexe+phkfqb0+xj+kxhqsu4bqz,giỏi,06/10/2017
182edddcxpvaibaexe+1p/4gnbgredayjhlzp30b,giỏi,06/10/2017
882c1d7fxpvaibaexe9fwzbwscouqpudymrenqrr,giỏi,06/10/2017
83845261xpvaibaexe9hpqqhqoopyyvq0zhwjv2w,giỏi,06/10/2017
82eb45e9xpvaibaexe9esuilq3v71rlmofznu1bq,giỏi,06/10/2017
86251376xpvaibaexe+9gfx9awrorib/av3vncgb,giỏi,06/10/2017
dacfd4a5xpvaibaexe9xnw4t0gpgx+xvqv2s103w,giỏi,06/10/2017
bbad4f2bxpvaibaexe879+aog1gh8vgaqyz3wjar,giỏi,06/10/2017
1874573axpvaibaexe/fejqn8/s5flmlj8y3qj+f,giỏi,06/10/2017
30f6c945xpvaibaexe/lh6v1xxtkjvd20kccxwaq,giỏi,06/10/2017
ac1d5cb1xpvaibaexe+bhzka9xggxbbgkpwysdh1,giỏi,06/10/2017
