mssv,tinhtrang,hocky,namhoc
98247e19xpvaibaexe93peysajovkxsz+hiviyyj,2.0,2.0,2016.0
52b1cc2dxpvaibaexe+kwir/vxjl0w+fyuw1abq7,2.0,2.0,2016.0
5666eaf4xpvaibaexe+z7kfnhylttjali+sh+dpo,2.0,2.0,2016.0
682c32e0xpvaibaexe/bn5cqsu92wx0dcikdud8d,2.0,2.0,2016.0
7901d3a9xpvaibaexe+6mn9fow2mqyemruxxbnss,2.0,2.0,2016.0
82d67ff0xpvaibaexe9bx5czuia9z+ymynrbj6fr,2.0,2.0,2016.0
fbd9aafexpvaibaexe+5ocrqpdkxsjh0otypdd2y,2.0,2.0,2016.0
b47bc5e8xpvaibaexe/h1vzjbzjawmy5agwfivk2,2.0,2.0,2016.0
7fbd0513xpvaibaexe+ltcxpm838vaxt1zhb2ina,2.0,2.0,2016.0
c3e0bacexpvaibaexe8zbelfimmobc4sduudh1j3,2.0,2.0,2016.0
bac0d992xpvaibaexe/dmvqguzybhm+z5fuq42cm,2.0,2.0,2016.0
a5cfc3eaxpvaibaexe8v1/72rbobbqbhkdh9w0n8,2.0,2.0,2016.0
fdca1f81xpvaibaexe+xw+0gojor0flmrnx/+tzg,2.0,2.0,2016.0
c1f37059xpvaibaexe9cyfl6d6btpg7hzas511bz,2.0,2.0,2016.0
b2b5d9c3xpvaibaexe/uev7j/8ezmxd71zvl116w,2.0,2.0,2016.0
c5d19041xpvaibaexe+njimjch3vhgzbbbwixtpf,2.0,2.0,2016.0
bfab0bc0xpvaibaexe+paovcd+lnox59zggn3cv1,2.0,2.0,2016.0
dca94b13xpvaibaexe9rv3kg6cpldhjssrcu5mso,2.0,2.0,2016.0
55e029baxpvaibaexe8sxrohzbxms8mzuqnd4qx0,2.0,2.0,2016.0
b721ce15xpvaibaexe/wujygmdanylnzwca+zedw,2.0,2.0,2016.0
18bc3150xpvaibaexe+ralerolzghwzzvcuduyjh,2.0,2.0,2016.0
e19c669fxpvaibaexe/lyy7+7e9oi1z9m6xwsk94,2.0,2.0,2016.0
3788c7a4xpvaibaexe/81gdnmtxksft2ovfuiakg,2.0,2.0,2016.0
3e756495xpvaibaexe9p07hcrvmhca0nlhgm6qsn,2.0,2.0,2016.0
80790c23xpvaibaexe83v/kfvw2bbdhxazukwyd8,2.0,2.0,2016.0
3e479342xpvaibaexe+kwir/vxjl01d1beeukzan,2.0,2.0,2016.0
f498e5fexpvaibaexe9jdlha4z2ghbzxhsr8pr1r,2.0,2.0,2016.0
b2816b7bxpvaibaexe/ykn5ysyyl7ms3vlfpnru+,2.0,2.0,2016.0
313a0c3expvaibaexe9fiasoce50dk2qcrsedi/o,2.0,2.0,2016.0
79f1e4dfxpvaibaexe9mlbi3ccq2bhghnnweus+t,2.0,2.0,2016.0
a31bdc0axpvaibaexe/dy4k4yiqpop0/icejmzqm,2.0,2.0,2016.0
cd4bb846xpvaibaexe/bqa0y8r3trqx6z3fs2mng,2.0,2.0,2016.0
3ec4c95dxpvaibaexe+xxbs4kvh/k298kmqsjxz6,2.0,2.0,2016.0
47d6dc8bxpvaibaexe8vdv75e6kcrmlvenowepkk,2.0,2.0,2016.0
48a22f9bxpvaibaexe8oockqmsrcbcsot0bvggjk,2.0,2.0,2016.0
2d57a854xpvaibaexe8wdgcsqtf3ydjk01mdvjzw,2.0,2.0,2016.0
a8f153c6xpvaibaexe9cyfl6d6btphgcj6z6ql7j,2.0,2.0,2016.0
c386ee73xpvaibaexe+hel85qgo03znov3tvjtb1,2.0,2.0,2016.0
f0a647a5xpvaibaexe+vdsoayozpwxu4eusrr8sk,2.0,2.0,2016.0
aaf15d98xpvaibaexe/x5zhfzi36laefprlvurrt,2.0,2.0,2016.0
882fb1b0xpvaibaexe8y6/rmxzrwbebw/cemiajk,2.0,2.0,2016.0
fb9d4c87xpvaibaexe9w7fv/x7qyqplsuf/c/sw3,2.0,2.0,2016.0
373c7479xpvaibaexe++bdwpcni17uzurhujbpff,2.0,2.0,2016.0
fe176735xpvaibaexe+1p/4gnbgreq94nptp4/sd,2.0,2.0,2016.0
85ab9a11xpvaibaexe+cd1fkelqxl3rmzzdf2nuw,2.0,2.0,2016.0
e934bcd3xpvaibaexe86736b6ol+/mlj5vorqv8u,2.0,2.0,2016.0
9a2b00e7xpvaibaexe+kwir/vxjl0y8ceqb0jdrp,2.0,2.0,2016.0
061a670axpvaibaexe9fafwyru+npkvjumt/czs9,2.0,2.0,2016.0
280c7ea5xpvaibaexe/lh6v1xxtkjqpup8q5f4wx,2.0,2.0,2016.0
dc3809c1xpvaibaexe+suupvsau/oxffadj7qiwv,2.0,2.0,2016.0
