mssv,xlhv_1,xlhv_2,xlhv_3,xlhv_4,xlhv_5,xlhv_6
001e045bxpvaibaexe+n07p56kwx2n6eoocujba4,0,0,1,1,1,2
004e12b9xpvaibaexe81r7krch0uc0uxbtobw4bg,0,0,0,1,2,2
005116e7xpvaibaexe8vdv75e6kcrk07zn1wf/t8,0,0,0,0,0,1
0063dc77xpvaibaexe+9uxuadizyik3mvzbgbsu+,0,0,0,0,0,1
008bc94cxpvaibaexe9/w7qcpr4fx1vmkmdbbgr/,0,0,1,2,2,2
00a6f5daxpvaibaexe/zt99h3ddtvt/brt/zz/rz,0,1,1,1,1,1
00acc499xpvaibaexe8ciylbp/qla4g3ka0i3o/f,0,0,0,1,2,2
00cffddfxpvaibaexe9pazsvcf3bgqtwebh0hdbi,0,0,0,1,1,1
00e148c2xpvaibaexe+yfpgaagvteqtcteueqms0,0,0,0,0,0,1
00f2c35axpvaibaexe9p78qxnh96y4b0n45ltstr,0,0,0,0,1,2
01345052xpvaibaexe80b1fr0fh/ju3gq/hxlb96,0,0,0,1,2,2
013dfc27xpvaibaexe9kwpgoh3zhlxpsij5qta8b,0,0,0,0,1,1
01641a90xpvaibaexe9dgf/ezu6zbxaquo6jqsv8,0,0,1,2,2,2
016ab880xpvaibaexe9lvlyxgsybv8bgu/pm3al/,0,0,1,2,2,2
017cd572xpvaibaexe9cfhtkhod3yquygl3dx7ko,0,0,1,1,2,2
0186d2fexpvaibaexe8lp0yaxzdquosodbdnyp4q,0,0,0,0,0,1
01b52be5xpvaibaexe9eypx3anxxhoetgoewyzrn,0,1,2,3,3,3
01c3e360xpvaibaexe8alappdcf+aqpfv91kc+cb,0,0,1,1,2,2
02d9a220xpvaibaexe+knwgscvz27lp2iqb5e3nw,0,0,0,1,1,1
03723a75xpvaibaexe85hklgqajy3tsw8foyj83/,0,0,1,2,2,2
03f0fdf5xpvaibaexe81r7krch0uc/dwutjis0l8,0,0,0,1,1,1
04782f2fxpvaibaexe9pmc4shtguo6ck0hn7qeag,0,0,0,1,1,1
04ca893bxpvaibaexe/soubysq9uj8riokr0jef/,0,0,0,0,0,1
05790986xpvaibaexe/huuivo8ucr806vmpiwfaa,0,0,1,2,2,2
0597247fxpvaibaexe+nyyotv4fwdzdbhns2i/tz,0,0,0,1,1,1
05fb97edxpvaibaexe+1n9lzrmgtlwuxodocigw6,0,1,1,1,2,2
06140a8axpvaibaexe8csuzma4ok0tgsdisfrght,0,0,0,0,0,1
06eedb7dxpvaibaexe8e6yzsppyfofvroccqyyax,0,0,1,1,1,1
0714aafcxpvaibaexe+n07p56kwx2k5jzfi+qyfv,0,0,1,2,3,3
07426a2dxpvaibaexe/wiuwn3fbmgftuujbl3l6v,0,0,0,1,1,2
07b199c7xpvaibaexe8nowy/kl2axhrcyvw9upq0,0,0,0,0,0,1
07cd6433xpvaibaexe+02rynj/uixwtqn+gwpm6m,0,0,0,1,2,3
07ef3044xpvaibaexe+nncqpvbk9mcggqoiook60,0,1,2,3,3,3
07f0b649xpvaibaexe9s6e9ioiufbgwa4h6cubkk,0,0,0,1,1,1
0850b0f9xpvaibaexe/twt+sf632fddzr/0ga7ku,0,0,0,1,1,1
0852976fxpvaibaexe8bcbqsm3bvhj7pwhsplpjx,0,0,1,1,1,1
08782ebcxpvaibaexe9zvzkastz09mv9x0bcbu8i,0,0,1,1,1,1
08cbd18expvaibaexe+rucnimwnda5sdarwnhsex,0,0,0,1,1,1
09ce92dexpvaibaexe92uubt7zfwrzwz1+hb4qhs,0,0,1,1,1,1
0a275ef0xpvaibaexe9j81k8mh0oj07f7m1swtm7,0,0,0,0,0,1
0aa6c0e6xpvaibaexe/wujygmdanyfwpwad68crk,0,0,0,0,0,1
0ac89451xpvaibaexe9syd7vfew2qvlaf3ajvnty,0,1,2,2,2,2
0ad9733bxpvaibaexe+e+n9mgynej18cbd4pz+8q,0,0,0,1,1,1
